"PCNM2","PCNM3","PCNM4","PCNM5","PCNM8","PCNM9","PCNM17"
0.0703251353092194,-0.100166487365322,0.117600141351563,-0.145102271736422,0.193836205497194,-0.21555585695963,-0.245891834083974
0.130088992476732,-0.184097552053843,0.198727900149451,-0.238189279754757,0.225677831588145,-0.228042581093661,0.123266821749778
0.174300620628001,-0.238189279754761,0.223630916962591,-0.245891834083973,0.0710366762426042,-0.0256967794815999,0.184097552053842
0.199267854052103,-0.253674246495825,0.186245997807815,-0.165448776060303,-0.151158539893183,0.200857238039512,-0.215555856959632
0.202905649356615,-0.228042581093667,0.0956753337401775,-0.0256967794815986,-0.270025798189063,0.238189279754754,-0.0760383092735808
0.184910209924033,-0.165448776060305,-0.0260296302468532,0.123266821749779,-0.194148742344101,0.0511298752324188,0.253674246495821
0.146784356329041,-0.0760383092735799,-0.149237110546306,0.228042581093664,0.018118425890679,-0.18409755205384,-0.0511298752324201
0.0917120240028682,0.0256967794816019,-0.243949502496939,0.251071205450672,0.203528977680668,-0.245891834083972,-0.228042581093663
0.0242923689942226,0.123266821749781,-0.287106965224235,0.184097552053841,0.219490602011206,-0.0760383092735798,0.165448776060302
-0.0498443130286751,0.200857238039518,-0.268201853397494,0.0511298752324197,0.0537278114363705,0.165448776060302,0.145102271736422
-0.124506779473493,0.245891834083978,-0.191837037469685,-0.100166487365323,-0.16627744029248,0.25107120545067,-0.238189279754756
-0.193459878864757,0.251071205450676,-0.0766052323690188,-0.215555856959634,-0.271327354147635,0.100166487365319,-0.0256967794816003
-0.25094525576794,0.215555856959635,0.0494378129726232,-0.253674246495823,-0.180631975922689,-0.145102271736423,0.251071205450672
-0.292162237908426,0.145102271736424,0.155604112442158,-0.200857238039517,0.0360582758943507,-0.253674246495821,-0.10016648736532
-0.313668746029463,0.0511298752324232,0.216045116324149,-0.0760383092735839,0.212095044547939,-0.123266821749777,-0.200857238039515
-0.313668746029468,-0.0511298752324169,0.216045116324149,0.0760383092735763,0.212095044547936,0.123266821749778,0.200857238039513
-0.292162237908438,-0.145102271736419,0.155604112442157,0.200857238039512,0.0360582758943421,0.253674246495821,0.100166487365322
-0.250945255767956,-0.215555856959629,0.04943781297262,0.253674246495821,-0.180631975922696,0.145102271736421,-0.25107120545067
-0.193459878864776,-0.251071205450669,-0.0766052323690244,0.215555856959632,-0.271327354147634,-0.100166487365322,0.0256967794815984
-0.124506779473512,-0.245891834083971,-0.191837037469692,0.10016648736532,-0.166277440292471,-0.251071205450671,0.238189279754757
-0.0498443130286939,-0.200857238039513,-0.2682018533975,-0.0511298752324204,0.0537278114363791,-0.165448776060301,-0.14510227173642
0.0242923689942059,-0.123266821749777,-0.287106965224239,-0.184097552053839,0.219490602011208,0.0760383092735838,-0.165448776060303
0.0917120240028562,-0.0256967794815983,-0.243949502496938,-0.251071205450668,0.203528977680661,0.245891834083976,0.228042581093663
0.146784356329032,0.0760383092735805,-0.149237110546302,-0.228042581093661,0.0181184258906696,0.184097552053841,0.0511298752324211
0.184910209924024,0.165448776060301,-0.0260296302468471,-0.123266821749775,-0.194148742344105,-0.051129875232423,-0.253674246495821
0.202905649356607,0.228042581093659,0.0956753337401848,0.0256967794816032,-0.27002579818906,-0.238189279754761,0.0760383092735789
0.199267854052096,0.253674246495815,0.186245997807821,0.165448776060305,-0.151158539893177,-0.200857238039516,0.215555856959632
0.174300620627996,0.238189279754751,0.223630916962596,0.245891834083973,0.0710366762426068,0.0256967794816015,-0.184097552053839
0.130088992476729,0.184097552053835,0.198727900149455,0.238189279754757,0.225677831588144,0.228042581093667,-0.123266821749779
0.0703251353092175,0.100166487365317,0.117600141351565,0.145102271736421,0.193836205497192,0.215555856959635,0.245891834083973
